word, uni_lemma, avg_surprisal
snow,snow,5.732331275939941
soap,soap,NA
sock,sock,NA
soft,soft,5.923730850219727
some,some,4.734557151794434
splash,splash,NA
spoon,spoon,5.893764019012451
squirrel,squirrel,NA
stairs,stairs,NA
star,star,NA
stop,stop,NA
store,store,NA
stove,stove,NA
stroller,stroller,NA
sun,sun,NA
sweater,sweater,NA
swim,swim,NA
swing,swing (action),NA
swing,swing (object),NA
table,table,NA
take,take,5.2353683199201315
teacher,teacher,NA
teddybear,teddybear,NA
telephone,telephone,NA
that,that,2.8369331126119577
there,there,3.549862012863159
thirsty,thirsty,NA
this,this,4.7931414084001025
throw,throw,5.085559436253139
tickle,tickle,NA
tiger,tiger,NA
tired,tired,NA
toast,toast,NA
today,today,NA
toe,toe,NA
tomorrow,tomorrow,9.698900858561197
tongue,tongue,NA
tonight,tonight,NA
tooth,tooth,NA
toothbrush,toothbrush,NA
touch,touch,NA
towel,towel,NA
toy,toy (object),7.2386555671691895
train,train,NA
trash,trash,NA
tree,tree,NA
truck,truck,NA
tummy,tummy,NA
turkey,turkey,NA
turtle,turtle,NA
tv,tv,NA
uncle,uncle,NA
under,under,NA
up,up,4.051850509643555
vacuum,vacuum,NA
vroom,vroom,NA
wait,wait,NA
walk,walk,NA
wash,wash,6.788022994995117
watch,watch (action),NA
watch,watch (object),NA
water,water (beverage),NA
water,water (not beverage),NA
wet,wet (description),NA
what,what,6.031495940300726
when,when (question),6.495489120483398
where,where (question),12.850573539733887
who,who,7.875140190124512
why,why,5.686659097671509
window,window,5.156928886066783
wipe,wipe,5.85250186920166
work,work (place),6.5093560218811035
write,write,NA
backyard,yard,NA
yes,yes,7.886909484863281
you,you,3.79386212609031
your,your,3.9536883580057243
yucky,yucky,NA
zipper,zipper,NA
zoo,zoo,NA
